date,time,open,high,low,close,volume
2016.08.15,08:00,569.15000,570.07000,562.48000,569.34000,3437
2016.08.15,12:00,569.15000,569.80000,566.02000,568.00000,2875
2016.08.15,16:00,568.00000,568.00000,558.69000,563.10000,3938
2016.08.15,20:00,563.10000,565.50000,560.76000,565.07000,3793
2016.08.16,00:00,565.07000,565.76000,564.38000,564.42000,3296
2016.08.16,04:00,564.42000,567.20000,563.15000,564.23000,4272
2016.08.16,08:00,564.24000,564.68000,561.53000,564.10000,3893
2016.08.16,12:00,564.10000,565.21000,562.61000,564.56000,4289
2016.08.16,16:00,564.56000,575.51000,564.36000,574.98000,3950
2016.08.16,20:00,574.97000,581.48000,574.60000,576.22000,3259
2016.08.17,00:00,576.24000,579.50000,575.11000,576.08000,3100
2016.08.17,04:00,576.08000,577.97000,575.50000,575.54000,3366
2016.08.17,08:00,575.70000,576.83000,575.50000,576.01000,2677
2016.08.17,12:00,576.01000,578.31000,573.21000,574.99000,3663
2016.08.17,16:00,574.99000,576.68000,567.57000,568.91000,3644
2016.08.17,20:00,568.90000,570.50000,567.24000,569.23000,3409
2016.08.18,00:00,569.23000,570.00000,567.45000,568.12000,3830
2016.08.18,04:00,568.13000,569.84000,568.05000,569.01000,4893
2016.08.18,08:00,569.00000,570.90000,568.35000,570.29000,3789
2016.08.18,12:00,570.27000,574.38000,569.04000,573.30000,4408
2016.08.18,16:00,573.30000,574.35000,570.23000,574.04000,3505
2016.08.18,20:00,574.04000,576.37000,571.25000,572.54000,3225
2016.08.19,00:00,572.55000,572.84000,571.00000,571.75000,3092
2016.08.19,04:00,571.75000,573.80000,571.72000,572.69000,3467
